코드	파일수	기정독동일계열	원료명
610868	208	0	SENSIVA SC 50
610748	99	0	OLIVE SQUALANE
610480	162	0	황련추출물
610485	97	0	HYDROJEL PFKC
610400	161	0	GLYCERINE
611990	93	0	HYALDECA COMPLEX
610311	92	0	Dissolvine NA2
610173	90	0	병풀잎수 HD
610276	90	0	Cetiol CC
610288	89	0	CARBOPOL 980
610932	79	1	SODIUM HYALURONATE(1%)-HD
611730	86	0	SK-2080
610090	143	0	1.3BG(C)
610326	85	0	DUB DIOL
610922	74	1	SODIUM ALGINATE
610516	84	0	JNA-CS 50
610742	84	0	OLIVEM 1000
611673	82	0	발아현미가루700
610145	60	0	BNC NATURAL SOLUBILIZER-K
610188	80	0	카라멜분말1호
610289	80	0	Caffeine Anhydrous_인터케어 납품처로 변경
610329	80	0	D.P.G(A)(STEVITNE LICO DPG)
610557	80	0	KM-105
610805	60	0	PUREACT WS CONC
610041	78	0	GENUGEL® carrageenan type AKW
610065	79	0	AQUAXYL
610422	79	0	GENU GUM RL-200
610454	59	0	HYDROVANCE
610674	59	0	MADECASSOSIDE EXTRACT (HD)
610676	59	0	MONTANOV L
610747	59	0	OLIVE OIL REFINED
610947	79	0	제조원INTERCARE변경181210_사막선인장추출물_INTERCARE
610998	79	0	SEPINOV WEO
611067	130	0	PC-12HD
611222	79	0	BERGAMOT OIL
610028	77	0	ANTI SEBUM P(HD)
610598	77	0	L-Arginine
611050	58	0	TEA TREE EXTRACT(HD)
611125	77	0	Zemea® Select Propanediol
611845	58	0	CELLOSIZE™ Texture E4M Hydroxypropyl Methy
611941	58	0	SHEA BUTTER PRESSED AND REFINED
610042	57	0	RAIN FOREST 03091 (COSMETIC GRADE ANNATTO 
610148	76	0	Botaniceutical Plus-10
610363	57	0	ERYTHRITOL
610829	126	0	RONACARE ALLANTOIN
611040	57	0	TEGO CARE 450
611588	57	0	Sunsoft Q-14Y-C
610198	75	0	COSMEDIA SP
610553	56	0	KELTROL F
610686	56	0	Meadowfoam Seed Oil
610201	55	0	체리 추출물
610321	122	0	D-PANTHENOL
610444	73	0	Green Tea Extract (HD)
610802	55	0	PURESYN 4
611580	55	0	DIGLYCERINE S
611614	73	0	Green Calming Complex(CJ)
610212	54	0	치자추출물-B
610634	72	0	MITAINE CA
610891	54	0	SEPINOV EMT 10
610934	72	0	SWD OIL-H
611410	54	0	ROSEMARY OIL
610157	53	0	병풀EXTRACT(HD)
610284	53	0	COLLAGENEER
610364	70	0	ELEMENT 14 PDMS-100
610631	70	0	M-HYDRO EG
610688	118	0	NATROSOL 250 HHR
610963	53	0	Salmon Milt DNA-Na(SODIUM DNA)
611001	53	0	SEABUCKTHORN OIL
611048	70	0	TREHALOSE 100
611078	71	0	ULTREZ 21
611429	53	0	SPRING NAT
610034	52	0	에키나세아 추출물
610121	52	0	BIOPHILIC H
610221	52	0	CMC(보락)
611113	52	0	XYLITOL
611542	115	0	SUNSOFT Q-12Y-C
611567	52	0	TSA-750S(SILSOFT 750)
610108	68	0	바다제비집추출물
610661	68	0	MICONOL C2M
610830	113	0	RADIAMULS 2107K(MCT)
610844	51	0	로즈마리엑스(KQC)(HD)
611628	51	0	SWEETONE
611749	51	0	CT BASE-MF
610110	67	0	백송로버섯 추출물
610116	66	0	블랙베리추출물
610167	66	0	복숭아추출물
610177	67	0	CREMOPHOR RH60
610223	50	0	CERASOME
610313	111	0	D.P.G
610357	111	0	DERMOFEEL PA-12
610361	110	0	DISSOLVINE NA2-S
610420	50	0	감초 추출물
610421	66	0	GENUVISCO CI-105
610569	66	0	KAOLIN JP-100
610607	42	1	LANETTE 22
610791	50	0	PF)1％ OLIGO-HA
611028	111	0	TROMETHAMINE
611733	66	0	인진쑥300
610449	49	0	HA-LQH
610635	49	0	마치현추출물-TLS
610895	49	0	SALICYLIC ACID
611476	49	0	TEA TREE OIL
611702	49	0	SIMULGEL EPG
610087	64	0	아르니카 추출물-NP
610175	48	0	CARBOPOL940
610308	48	0	CAMPO SIDDHA NEER PAZCHAI (GREEN,WSL)
610345	48	0	DF COMPLEX
610409	48	0	GEOTITAN SD-200
610495	48	0	HYDROJEL OILPFKC
610930	107	0	SYN-COLL (프랑스, HS Code 3824.99.9090)
611590	64	0	병풀잎 줄기가루 30-50
611794	48	0	제주청귤추출물
611868	64	0	Moist-7 Complex
610134	47	0	BIO-GLUTATHIONE 100H
610192	62	0	CEH
610245	63	0	CARBOPOL981
610273	62	0	CACAO POWDER
610309	47	0	CENTELLA ACIATICA SOME-ANC
610360	63	0	Dermosoft GMCY
610365	105	0	ETHANOL K95_한국알콜산업(KAI)
610565	62	0	KM-205
610693	47	0	NATURAL PROTECTOR
610851	47	0	DL-PANTHENOL(XINFA PHARMACEUTICAL)_케이제이케미칼
611009	63	0	SC GLUCAN(H)
611010	47	0	SNOW ICE
611037	63	0	PEMULEN(TM) TR-1
611249	104	0	DR 7 NAT
611734	62	0	인진쑥500
611835	47	0	CERATROM® B-Wax
611971	47	0	RECOLLAGEN WATER
610139	61	0	BENTONITE NF BC-670
610431	46	0	GLUCONO DETTA LACTON
610437	61	0	GENUGEL® carrageenan type WR-78
610642	61	0	MYRiTOL-GTEH
610665	46	0	MALAKITE
610689	102	0	GENENCARE OSMS BA
610764	61	0	PALMAC 630(STEARIC ACID)
611208	38	1	AQUA 10 NAT
611530	61	0	RADIAN DERMA-CLERA
611634	46	0	OKINACEA EL
611717	61	0	ROQUETTE GA290
611719	46	0	VITA12SOME-EWG
611791	46	0	MADECASSOSIDE
611844	46	0	어성초수
611925	46	0	ECOCERAMIDE DESERT CACTUS
611942	46	0	사철쑥추출물(AN)
610208	45	0	COCONUT OIL REFINED
610300	45	0	Campo Siddha Neer Kaddal Neelam_Ultra Sky 
610306	45	0	CERAMOSIDES™ HP
610511	45	0	IPG-S
610670	45	0	MKR-1
610923	45	0	SUPERBERRY COMPLEX3 (HD)
611415	45	0	ROSE MARY 1 ROSE
611545	45	0	SILGREEN-C
610873	44	0	SF0015Z(SERASENSE SF CM 56)
611083	44	0	VITA COMPLEX 10
611973	44	0	POLYAQUOL-2W
610213	43	0	치자추출물-R
610226	43	0	CARBOPOL AQUA SF-1
610566	43	0	Keltrol CG-SFT
610604	27	2	LEMON JUICE(W)(HD)
610835	43	0	REFINED JOJOBA OIL[TEXTRON(스페인)]
611574	43	0	ACNILYS
611927	43	0	LIPOCIRE A SG
610777	42	0	PURAC ULTRAPURE 90
610783	42	0	PLANTACARE 818UP
611072	42	0	UREA
611524	42	0	비누풀뿌리 Extract(HD)
611620	42	0	ACB Fruit Mix
610160	41	0	Barbary Fig Oil Organic
610279	41	0	COS-VCE
610477	41	0	TRIPLE HA
610626	41	0	D-솔비톨액(PS02)
610819	41	0	PAPAIN
611114	41	0	연꽃 추출물
611612	41	0	사철쑥 Extract(HD)
611742	41	0	율무씨가루300
611745	41	0	프리바이오틱스(H)
611793	41	0	LOOK OLÉOACTIF®
611821	41	0	당호박추출물
610287	40	0	CAMPO SIDDHA NEER KARUSHALAI KOVAI_BROWN R
610350	40	0	Dermofeel BGC
610571	40	0	KSG-16
610617	40	0	MACADAMIA NUT OIL REFINED
611254	40	0	닥터자르트 cicapair line organic essential oil 
611616	40	0	Polycast-3
611705	40	0	Pemulen EZ4U
611917	40	0	핑크알로에추출물(무색)
611923	40	0	BENTONE GEL® GTCC V
610084	39	0	AQUALICIA
610111	39	0	비타민 나무 추출물
610247	39	0	CAMPO SIDDHA VEPUVILLAI KARUSHALAI YENAI(핑
610270	39	0	칼라민 파우더
610301	39	0	CALENDULA OIL SOLUTION
610342	39	0	DM-SYLISYLI
610548	39	0	자작나무수액(HD)
610556	39	0	KOH 90％
610874	39	0	SF5600Z(SERASENSE SF PTM)
610981	31	1	SODIUM BICARBONATE
611089	39	0	VOLUFILINE
611470	39	0	SKIN CARE EA 04630
611560	31	1	Aristoflex HMB
611575	39	0	위치하젤추출물
611641	31	1	SNAIL LF-73B
611948	39	0	NEOSSANCE SQUALANE
611988	39	0	스트렙토코쿠스발효물
610074	38	0	Aqupec HV-505HC(원료단종)
610271	38	0	CRODAMOL DES-LQ-(JP)
610398	38	0	Floraesters K-20W® Jojoba
610621	38	0	MANGO BUTTER (공급중단-사용금지처리)
610910	38	0	SEPIPLUS 400
611008	38	0	SOOTHING COOLER EX(H)
611369	38	0	LAVENDER OIL(아로마뱅크)
611576	38	0	펩타이드 complex
611589	38	0	Ultrez 30
611667	38	0	TAISET 50-C
611708	38	0	카렌둘라꽃추출물 HD
611950	38	0	풋사과 Extract(HD)
610037	37	0	AMINO ACID COMPLEX (B)
610063	37	0	AVOCADO OIL
610243	37	0	COS-BSA
610267	37	0	CARBOPOL ETD 2020
610787	37	0	PLANTACARE 2000UP
610818	37	0	Proteol APL EF
611559	37	0	Sensasil PCA-LQ-(AP)
611579	37	0	PEMULEN TR-2 POLYMER
611629	37	0	SUNFLOWER OIL HIGH OLEIC
611750	37	0	사막선인장꽃추출물(P)
611777	37	0	오트밀추출물 HD
610330	36	0	DOWSIL 2501 Cosmetic Wax
610702	36	0	NATURAL CELLULOSE
610806	36	0	PLANTASENS OLIVE LD SP ECO
610831	36	0	FLOCARE™ ET 100
611355	20	2	LEMON A23051
611516	36	0	ADEKANOL GT-730
611681	36	0	ATM-4 NAT
611704	36	0	[PF]SKINCARE S1801906
611991	36	0	SYMSITIVE 1609
610036	35	0	AHA FRUITS COMPLEX
610239	35	0	CTP(1000PPM)(HD)
610241	35	0	참숯 EXTRACT(HD)
610268	35	0	CELITE 281
610381	6	4	Eumulgin CO60
610597	35	0	LEXFEEL 7
610735	35	0	Organic Lemon Balm Extract_모아캠
610807	35	0	편백수(H)
611047	35	0	PORE CLEAR COMPLEX(HD)-탄닌콤플렉스
611642	27	1	Blue Complex-HR
611829	35	0	SKIN CARE HP-AI18038
611869	35	0	인동덩굴꽃 Extract(HD-PG5)
611885	35	0	OLIVEM 2020G
611987	35	0	S-Softning EM
610172	34	0	BELSIL DM 0.65
610354	34	0	동백꽃추출물
610439	34	0	GlucanREAL
610490	34	0	Hyalpol Matrix
610554	34	0	KONLUB DR-701C
610570	34	0	KUNIPIA G
610682	34	0	MORINGA OLEIFERA SEED OIL
610822	34	0	PROBIOTIC COMPLEX (HD)
611188	34	0	COLLAGEN HYDROLYZED I PERFORMANT FISH TYPE
611499	34	0	대나무수-HD
611555	34	0	Ultrez 20
611619	34	0	WELYCARE ATBS
611982	34	0	PHYTO COLLAGEN(HD)
610154	33	0	BETA-GLUCAN(HD)
610253	33	0	초유 EXTRACT(HD)
610341	33	0	다마스크장미꽃수W(HD)
610623	33	0	우유단백질추출물
610729	33	0	Neossance Hemisqualane
610824	33	0	팥파우더(20-40)
610896	25	1	SWEET ALMOND OIL REFINED
610935	33	0	SJ-UNIJEL OIL(H)
611092	33	0	비타민나무열매추출물 (대한민국, 국내제조로 HS Code제공어렵다함)
611512	33	0	Puramex Zn
611591	33	0	알로에베라잎즙-HD
611593	33	0	티트리잎(24mesh 이하)
611764	33	0	SLLS NG
611775	33	0	녹차수-HD
611847	33	0	약쑥추출물
611933	33	0	코코넛야자열매추출물
610123	32	0	BAOBAB EXTRAT(HD)
610170	32	0	BRILLIAN-CSA (Capryloyl Salicylic Acid)
610417	32	0	GLUCAM E-20
610442	32	0	GNO-Pearl G
610483	32	0	화이트윌로우껍질추출물(L.H)
610534	32	0	JEJU ALOE EXTRACT(HD)
611071	32	0	유칼립투스추출물(H)
611241	32	0	CAMELLIA-99W
611501	32	0	대나무추출물
611510	32	0	데이지꽃추출물
611511	32	0	인도멀구슬EXTRACT(HD)
611597	32	0	IndiEster DSM
611883	24	1	AQUA TOCOPHEROL (10%)
611977	32	0	KAK 99
610027	31	0	AN 3 MARINE COMPLEX
610061	31	0	ARGAN OIL ORGANIC
610131	31	0	백차추출물(H)
610503	31	0	홍삼 Extract(HD)
610536	31	0	자작나무수액PE(ECO)
610552	31	0	진주추출물-NP
610568	31	0	KF 96A-6CS
610572	31	0	KELCOGEL
610700	31	0	녹차추출물(PF)
610718	31	0	NSG-L
610753	31	0	OLIFEEL TD 7525
610810	31	0	PMX 1184-Fluid
610836	31	0	r-PGA(CS γ-PGA)
610917	31	0	S.O.S-20
610950	31	0	SJ-UNIJEL MS(H)
610973	31	0	SALACOS 5408
611004	31	0	석류추출물
611007	31	0	Sepicalm™ VG WP
611017	31	0	SENSITIVE MOISTURE COMPLEX (2)
611111	31	0	WECOBEE® S (단종-사용금지처리)
611298	31	0	FLORAL 17 NAT
611519	31	0	TRIETHYL CITRATE(TEC)
611570	31	0	EMEREX EH 2660
611627	31	0	PULLULAN DUOLUX CM
611726	23	1	LACTOBIONIC ACID
611755	31	0	MUNG 1161
611761	31	0	DEEP-TOX PACK POWDER(2)
611881	31	0	BLUEBERRY-81W
610176	30	0	CARBOPOL941
610234	30	0	CHOLESTEROL JSQI(구, CHOLESTEROL JP 구구 CHOL
610242	30	0	CETIOL HE
610269	30	0	CLOISONNE GOLD (222C)
610397	30	0	FUCOIN-1000
610460	30	0	황금 추출물
610494	30	0	HA-SOLUTION HD(0.5%)
610722	30	0	NATROSOL 250 HR
610763	30	0	FOAMYSENSE™ 205 Polymer
610775	30	0	페퍼민트 추출물
610866	30	0	SINARFA1499(PALMAC 98-14)(MYRISTIC ACID)
610921	30	0	수박 EXTRACT (HD)
611060	30	0	TORNARE
611185	30	0	JEWELRY COMPLEX
611191	30	0	히말라야핑크솔트
611526	30	0	RICE-740W
611631	30	0	SEA GRAPE EXTRACT
611633	22	1	FRAGRANCE F1600573
611746	30	0	블랙커민씨오일인퓨전(1%)
611884	17	2	A-CAP Pink
610335	29	0	DOW CORNING FB-9586
610389	29	0	파파야추출물
610404	29	0	GLUTATHIONE. REDUCED
610418	29	0	갈락토미세스발효여과물-WP
610458	29	0	HG-407
610496	29	0	해양심층수(HD)
610521	29	0	제주용천수(용암해수)
610652	29	0	Multi Seaweed Complex (HD)
610667	29	0	마린 발효 콤플렉스(HD)
610749	29	0	OLIWAX LC
610768	29	0	KERAPLANT NPNF
610782	29	0	PVP K-30
610809	29	0	PVP K-90 (제조사 구분)
610924	29	0	STRUCTURE XL
610974	29	0	SAFEELIA SC-250TP
611068	29	0	유채꿀추출물
611505	29	0	Flexan II
611525	29	0	위치하젤수(HD)
611682	29	0	레드프로폴리스추출물
611695	29	0	Green Energy Complex(H)
